objectname,rating,numplays,objectid,itemtype,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
Electronic Battleship,0,,4122,standalone,0,0,0,0,0,0,1,0,0,3,,Had this when I was a kid,,,,67326634,5.33355,4.88322,1.2571,22805,838,thing,Electronic Battleship,2,2,30,30,30,1977,2,2,6+,,,,,,,,,,,,,,,,,,,,,
Elefun,1,,7320,standalone,0,0,0,0,0,0,0,0,0,3,,,,,,96848059,5.31015,4.4653,1.0286,22824,562,thing,Elefun,2,4,10,10,10,1993,"1,2,3,4",2,3–6,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Epidemic Express,0,,85804,standalone,0,0,0,0,0,1,0,0,0,3,,,,,,34282318,0,6.15,1.3333,0,11,thing,Epidemic Express,1,1,15,15,15,2010,1,1,10+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Etherfields,0,,280794,standalone,0,0,0,0,0,0,0,0,1,4,,,,,,91073362,6.71092,8.03203,3.4409,756,6814,thing,Etherfields,1,4,180,180,90,2020,"1,2,3",2,14+,Unplayable in another language,,,,,,,,,,,,,,,,,,,,
Ethnos,0,,206718,standalone,0,0,0,0,0,1,0,0,0,3,,,,,,93887322,7.19081,7.47405,2.04,264,14583,thing,Ethnos,2,6,60,60,45,2017,"2,3,4,5,6",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
Evolution: The Beginning,7.5,11,201248,standalone,0,1,0,0,0,0,0,0,0,3,,I enjoy this way more than the full version - I like it very simple and streamlined. Tommy got into it which gave it a bit of life.,,,,52853529,6.08826,6.63892,1.8049,2239,4969,thing,Evolution: The Beginning,2,5,30,30,30,2016,"2,3,4,5",2,8+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
Exodus: Proxima Centauri,0,,122842,standalone,0,0,0,0,0,1,0,0,1,3,,,,,,20024118,6.27304,7.15276,3.5981,1615,3228,thing,Exodus: Proxima Centauri,2,6,180,180,180,2012,"2,3,4,5,6",6,14+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
Fantastiqa: The Rucksack Edition,0,,125046,standalone,0,0,0,0,0,1,0,0,0,3,,,,,,19232188,6.05535,6.93813,2.3896,2389,1999,thing,Fantastiqa: The Rucksack Edition,2,4,60,60,45,2012,"2,3,4",2,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Fight for Olympus,7.5,6,192834,standalone,0,1,0,0,0,0,0,0,0,3,,"I really like this game. It's simple and pretty streamlined but has a lot of interesting choices. I have had fun in all the games so far, wins and losses. I kind of get a ""Magic the Gathering"" vibe from it, but with many fewer possible interactions and a simpler structure.",,,,93070138,5.96217,6.69098,2.0976,2833,2254,thing,Fight for Olympus,2,2,30,30,30,2016,2,2,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Fireball Island,7.7,,1768,standalone,0,0,0,0,0,0,1,0,0,3,,"This was perhaps my most-anticipated Christmas gift ever. I was 7 or 8 when I got it. I think I saw commercials for it on TV, or else I played it at a friend's house. I loved the red marbles that you rolled out of the big stone head for fireballs and the 3D plastic board. The crystal was so cool that I wanted to win just to hold onto it. I also loved the way the fireballs could actually collapse the bridges. I think this game may have begun my love affair with miniatures.",,,,9997528,5.86123,6.43956,1.3411,3476,1893,thing,Fireball Island,2,4,45,45,45,1986,"3,4",4,8+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
Fireball Island: The Curse of Vul-Kar,8,14,233020,standalone,0,1,0,0,0,1,0,0,0,1,,"Got it for Christmas 2018, fittingly exactly 30 years after I got the original one for Christmas. This is a wonderful remake - everything got way better in every way.
",,,,56913616,6.43148,6.8245,1.4891,1240,12117,thing,Fireball Island: The Curse of Vul-Kar,2,4,60,60,45,2018,"2,3,4",4,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Five Hundred,7.9,,13123,standalone,0,1,0,0,0,0,0,0,0,3,,One of the first card games I learned. I long-time classic in my Grandmother's side of the family. I even learned it before Euchre ;-) We must have bought a dozen of the special six-handed decks over the years. ,,,,19201339,5.80622,7.00573,2.0392,3920,407,thing,500,2,6,30,30,30,0,"3,4,5",4,8+,No necessary in-game text,,,,,,,,,,,,,,,,,The United States Playing Card Company,English,0,Bicycle edition
Flash Point: Fire Rescue,7,21,100901,standalone,0,1,0,0,0,0,0,0,0,3,,"A nice change of pace from the Pandemic family of cooperative board games. Some familiar concepts but a totally unique theme and set of mechanics. The expansions are hard, but the basic boards are fun for everyone.",,,,21024138,7.02202,7.1789,2.2009,399,35813,thing,Flash Point: Fire Rescue,2,6,45,45,45,2011,"1,2,3,4,5,6",4,8+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
Flash Point: Fire Rescue – 2nd Story,6,2,126954,expansion,0,1,0,0,0,0,0,0,0,3,,Hard as hell. I guess we aren't quite up to the challenge because it always just feels like a beat-down.,,,,21961729,6.40338,7.57242,2.2353,0,7443,thing,Flash Point: Fire Rescue – 2nd Story,2,6,45,45,45,2012,"1,2,3,4,5,6","4,5",10+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
Flash Point: Fire Rescue – Urban Structures,6,1,110139,expansion,0,1,0,0,0,0,0,0,0,3,,Also hard as hell,,,,21098841,6.39853,7.6095,2.2241,0,6832,thing,Flash Point: Fire Rescue – Urban Structures,2,6,45,45,45,2011,"2,3,4,5,6","3,4,5,6",10+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
Forbidden Desert,8.7,40,136063,standalone,0,1,0,0,0,0,0,0,0,1,,"We are really enjoying this game. It feels similar enough to Forbidden Island but also different enough to be interesting. I love that the hand-management is gone, and that trading things is free. This is a great game.",,,,20003527,6.97321,7.10811,2.0462,443,48939,thing,Forbidden Desert,2,5,45,45,45,2013,"1,2,3,4,5",4,8+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
Forbidden Desert: Storm Tracker Gear Card,8,,153748,expansion,0,1,0,0,0,0,0,0,0,3,,:-D,,,,25123265,5.59591,6.8326,1.8,0,652,thing,Forbidden Desert: Storm Tracker Gear Card,2,5,45,45,45,2013,"1,2,3,4,5",5,10+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
Forbidden Island,8,29,65244,standalone,0,1,0,0,0,0,0,0,0,3,,There is no game I would rather have to teach cooperative games to my friends with. This game is a masterpiece of elegance in that in combines the difficulty of Pandemic but provides a level of simple game-play that is easy to get into. The fact that I can play this game with my adult friends as well as my young nephews says a lot. Forbidden Island provides a ton of depth with just a few rules.,,,,11224395,6.67835,6.77694,1.7389,806,81750,thing,Forbidden Island,2,4,30,30,30,2010,"1,2,3,4",4,8+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
Forbidden Sky,6.5,9,245271,standalone,0,1,0,0,0,0,0,0,0,1,,"An interesting evolution of the ""Forbidden"" games. It's different enough to feel unique. We played it some but no one has ever really demanded we play it more.",,,,56047503,6.08139,6.47601,2.6383,2268,9100,thing,Forbidden Sky,2,5,60,60,60,2018,"1,2,3,4,5","3,4",8+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
Formula D,8.5,10,37904,standalone,0,1,0,0,0,0,0,0,0,3,,"Crazy dice-rolling fun, especially great with around 5 players. My favorite parts are the cheering at good rolls and the screaming at bad rolls. Also the merciless heckling of other players, and the adrenaline of finishing a race with no points left to spend.
",,,,19391916,6.84025,7.01354,1.9772,582,25176,thing,Formula D,2,10,60,60,60,2008,"3,4,5,6,7,8,9,10","5,6,7,8",8+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Formula D: Circuits 1 – Sebring & Chicago,0,,39425,expansion,0,1,0,0,0,0,0,0,0,3,,,,,,35599424,6.10882,7.40598,1.9608,0,3488,thing,Formula D: Circuits 1 – Sebring & Chicago,2,10,60,60,60,2009,"2,3,4,5,6,7,8,9,10","5,10",8+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Foundations of Rome,0,,284189,standalone,0,0,0,0,0,1,0,0,0,3,,,,,,92483912,6.66858,8.11386,1.9219,822,3000,thing,Foundations of Rome,2,4,90,90,60,2022,"2,3,4","3,4",10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
The Fox in the Forest,6,4,221965,standalone,0,1,0,0,0,0,0,0,0,3,,,,,,91343042,6.93746,7.16831,1.5764,485,25499,thing,The Fox in the Forest,2,2,30,30,30,2017,2,2,10+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
Frog Juice,7.5,10,2669,standalone,0,1,0,0,0,0,0,0,0,3,,"This is just a solid, light card game. I have been in love with this game since I first played in as a teen. The theme is fun, the rules are very basic but have a few extra wrinkles, and the games don't take very long to play. I put a lot of hours into making a computer version just because I like this game so much. It really highlights the basic math game plus slight strategy card game.",,,,9862659,5.49455,5.56827,1.2308,19756,1560,thing,Frog Juice,2,4,25,25,25,1995,"2,3,4",3,6+,,,,,,,,,,,,,,,,,,,,,
The Game of Life,2,,2921,standalone,0,0,0,0,0,0,0,0,0,3,,,,,,96847990,4.32135,4.31226,1.1709,22934,19192,thing,The Game of Life,2,6,60,60,60,1960,"2,3,4,5,6",4,6–18,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Gears of War: Mission Pack 1,0,,125376,expansion,0,1,0,0,0,1,0,0,0,3,,,,,,18804505,5.78816,7.75135,2.3,0,1623,thing,Gears of War: Mission Pack 1,1,4,180,180,60,2012,"1,2,3,4",2,,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Gears of War: The Board Game,8,19,42776,standalone,0,1,0,0,0,0,0,0,0,3,,Brutal. Just brutal. Especially with four players it is really punishing. But so much damn fun! It really is a high quality game. One of the harder co-op games I played though.,,,,18751742,6.8653,7.46556,2.8816,561,7614,thing,Gears of War: The Board Game,1,4,180,180,60,2011,"1,2,3,4","2,4",12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Gloom of Kilforth: A Fantasy Quest Game,0,,98527,standalone,0,0,0,0,0,1,0,0,0,3,,,,,,95197171,6.40275,7.56064,3.1059,1295,3596,thing,Gloom of Kilforth: A Fantasy Quest Game,1,4,180,180,60,2017,"1,2",1,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Gloomhaven,8,42,174430,standalone,0,0,0,0,0,0,0,0,0,3,,,,,,91833697,8.46917,8.7009,3.8847,1,83942,thing,Gloomhaven,1,4,120,120,60,2017,"1,2,3,4",3,14+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Gloomhaven: Jaws of the Lion,8,9,291457,standalone,0,1,0,0,0,1,0,0,0,3,,Picked this up to help learn the game. Got an in-person group going. Enjoyed and appreciated the gentle introductory scenarios. I love playing the Hatchet so far.,,,,89430189,8.25705,8.59413,3.6133,5,51662,thing,Gloomhaven: Jaws of the Lion,1,4,120,120,30,2020,"1,2,3,4",2,12+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Go Fish,2,,7682,standalone,0,0,0,0,0,0,0,0,0,3,,,,,,96847993,4.588,3.62373,1.0603,22931,1441,thing,Go Fish,2,6,20,20,20,0,"3,4,5",4,4+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Go Go Gelato!,6.5,3,217553,standalone,0,0,0,0,0,0,1,0,0,1,,This was fun when the kids were little. I think we gave it away. Really simple and fun activity. Loved the colors.,,,,49569508,5.66172,6.32264,1,5841,817,thing,Go Go Gelato!,2,4,15,15,15,2017,"2,3,4","3,4",5–12,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Guess Who?,5,5,4143,standalone,0,1,0,0,0,0,0,0,0,3,,Ali got it for Christmas 2019,,,,67326497,4.93177,4.80795,1.1074,22914,9252,thing,Guess Who?,2,2,20,20,20,1979,2,2,4–12,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Hanabi,6.5,7,98778,standalone,0,1,0,0,0,0,0,0,0,3,,"Nice and simple rules, but complex and interesting play. I like this much more for the elegance of its design than I do for the actual solving of the puzzle. But it is good clean fun.
",,,,24786315,6.96264,7.06262,1.6936,455,72189,thing,Hanabi,2,5,25,25,25,2010,"2,3,4,5",4,10+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Hannibal: Rome vs. Carthage,0,,234,standalone,0,1,0,0,0,0,0,0,0,3,,Bought it from a fellow BGG'er on the geek market,,,,92457372,7.14171,7.79785,3.4511,299,7322,thing,Hannibal: Rome vs. Carthage,2,2,200,200,40,1996,2,2,14+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Hero Realms,7,4,198994,standalone,0,1,0,0,0,0,0,0,0,3,,"Seems like an acceptable reskin of Star Realms, which I really like. The card art is good overall, but the graphic design makes the cards hard to read, especially the micro text. The guard champions needing to be un-tapped in order to defend is an interesting wrinkle.",,,,96013558,7.25172,7.55962,1.9,227,26315,thing,Hero Realms,2,4,30,30,20,2016,"2,3,4",2,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
HeroQuest,7.5,12,699,standalone,0,1,0,0,0,0,0,0,0,3,,"Provided hours of fun as a kid. Made my brother and cousin play through so many levels. Had endless fun making up new items, character classes, and levels. Made up my own character sheets and map templates on the computer too.",,,,18468888,6.81512,7.1616,2.1503,606,19631,thing,HeroQuest,2,5,90,90,90,1989,"2,3,4,5",5,8+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
HeroQuest,7,12,699,standalone,0,1,0,0,0,1,0,0,0,3,,"Backed it on Haslab. Super cool and excited to introduce my kids!

The production quality is fantastic. The game itself is basically unchanged so it's fine with kids but I think adults might get bored with it.",,,,87344357,6.81512,7.1616,2.1503,606,19631,thing,HeroQuest,2,5,90,90,90,2022,"2,3,4,5",5,8+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,Avalon Hill; Hasbro,English,2022,English edition 2021
HeroQuest: Barbarian Quest Pack,6.5,,1763,expansion,5,1,0,0,0,0,0,0,0,3,,,,,,9860461,5.75318,7.49643,2.0588,0,811,thing,HeroQuest: Barbarian Quest Pack,2,5,120,120,120,1992,"3,4,5","4,5",12+,,,,,,,,,,,,,,,,,,,,,
HeroQuest: Elf Quest Pack,6.5,,1764,expansion,5,1,0,0,0,0,0,0,0,3,,,,,,9860466,5.6972,7.35984,2.4167,0,628,thing,HeroQuest: Elf Quest Pack,2,5,120,120,120,1992,"2,3,4,5",5,10+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
HeroQuest: Hero Collection – Commander of the Guardian Knights,0,,351474,expansion,0,1,0,0,0,0,0,0,0,1,,,,,,94680058,5.50485,5.70889,0,0,201,thing,HeroQuest: Hero Collection – Commander of the Guardian Knights,2,5,90,90,60,2021,,,,,,,,,,,,,,,,,,,,,,,,
HeroQuest: Kellar's Keep,5.5,,1762,expansion,0,1,0,0,0,0,0,0,0,3,,,,,,15631790,6.2416,7.24133,2.1165,0,4859,thing,HeroQuest: Kellar's Keep,2,5,120,120,120,1991,"2,3,4,5",5,8–16,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
HeroQuest: Mythic,0,,350854,expansion,0,1,0,0,0,0,0,0,0,3,,,,,,94441591,5.65839,8.60603,2,0,810,thing,HeroQuest: Mythic,2,5,90,90,90,2021,,,8+,,,,,,,,,,,,,,,,,,,,,
HeroQuest: Return of the Witch Lord,5.5,,1761,expansion,0,1,0,0,0,0,0,0,0,3,,,,,,15631792,6.23696,7.29174,2.17,0,4632,thing,HeroQuest: Return of the Witch Lord,2,5,120,120,120,1991,"2,3,4,5",5,8–16,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
HeroQuest: The Frozen Horror,0,,367079,expansion,0,1,0,0,0,1,0,0,0,3,,,,,,96075056,0,8.804,2,0,367,thing,HeroQuest: The Frozen Horror,1,5,120,120,30,2022,,,8+,,,,,,,,,,,,,,,,,,,,,
HEXplore It: The Valley of the Dead King,0,,214484,standalone,0,0,0,0,0,1,0,0,0,3,,,,,,94679921,6.16129,7.73034,3.2162,1978,2222,thing,HEXplore It: The Valley of the Dead King,1,7,180,180,60,2017,"1,2,3,4,5,6,7",4,10+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
The Hobbit,0,,83629,standalone,0,1,0,0,0,0,0,0,0,3,,Ended up getting a used copy off ebay,,,,93401194,5.71114,5.96796,1.7576,5008,3968,thing,The Hobbit,2,5,45,45,30,2010,"2,3,4,5","3,4",8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
The Hobbit: An Unexpected Journey,0,1,140612,standalone,0,1,0,0,0,0,0,0,0,1,,,,,,93281462,5.61745,6.18931,1.8214,7012,1130,thing,The Hobbit: An Unexpected Journey,1,4,40,40,40,2013,"1,2,3,4","2,4",8+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
The Hobbit: The Defeat of the Evil Dragon Smaug,5.1,1,2456,standalone,0,1,0,0,0,0,0,0,0,3,,Ordered the 2103 Reiner Knitzia one from Amazon and got this instead!,,,,93125852,5.23001,4.8529,1.3217,22871,2378,thing,The Hobbit: The Defeat of Smaug,2,6,30,30,30,2001,"2,3,4,5",3,6–12,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,Esdevium; Fantasy Flight Games; Sophisticated Games,English,2001,English first edition
The Hobbit: The Desolation of Smaug,0,,151310,standalone,0,1,0,0,0,0,0,0,0,3,,Bought used from a fellow geek on the market,,,,93156349,5.59517,6.55685,1.8,7845,591,thing,The Hobbit: The Desolation of Smaug,1,4,60,60,45,2013,"1,2,3,4",2,8+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
Horus Heresy,0,,63543,standalone,0,1,0,0,0,1,0,0,0,3,,"Got a cheap (new) copy from eBay. Hoping to learn it, set it up, and -oh yeah- find someone to play it with.",,,,19275872,6.2151,7.05116,3.7683,1791,4244,thing,Horus Heresy,2,2,135,135,135,2010,2,2,14+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
The Horus Heresy: Betrayal at Calth,0,,187679,standalone,0,0,0,0,0,0,0,0,0,4,,,,,,35013379,5.68305,7.50636,2.5455,5454,795,thing,The Horus Heresy: Betrayal at Calth,2,2,60,60,30,2015,2,2,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Hunt for the Ring,0,,216070,standalone,0,0,0,0,0,1,0,0,0,3,,,,,,93612784,6.17807,7.15404,3.1591,1921,3932,thing,Hunt for the Ring,2,5,180,180,90,2017,"2,3,4,5",2,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Imperial Knights: Renegade,0,,198137,standalone,0,0,0,0,0,1,0,0,1,4,,,,,,35013408,0,6.78261,1,0,126,thing,Imperial Knights: Renegade,2,2,0,0,0,2016,"1,2",2,12+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
Incursion,0,,40603,standalone,0,1,0,0,0,1,0,0,0,4,,Backed on Kickstarter!,,,,19951544,5.76958,7.57674,2.7778,4296,942,thing,Incursion,2,2,120,120,120,2009,2,2,12+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
Incursion: SNAFU,0,,98370,expansion,0,1,0,0,0,1,0,0,0,3,,,,,,29413049,5.57451,8.03889,2.75,0,280,thing,Incursion: SNAFU,1,3,120,120,120,2011,,,,,,,,,,,,,,,,,,,,,,,,
Indiana Jones Akator Temple Race Game,4,1,36299,standalone,0,0,0,0,0,0,1,0,0,3,,Bought a cheapo copy off of eBay. Planning to use the tower in some sort of D&D encounter. Might actually play the game some time.,,,,19249245,5.49548,5.42273,1,19633,87,thing,Indiana Jones Akator Temple Race Game,2,4,30,30,30,2008,,,,,,,,,,,,,,,,,,,,,,,,
Infinity Gauntlet: A Love Letter Game,7.5,10,304285,standalone,0,1,0,0,0,0,0,0,0,3,,Ordered from Game Nerdz. Looking forward to trying it out with the family since we love Love Letter and could maybe use a little variation.,,,,93703716,6.36293,7.06898,1.2105,1383,6113,thing,Infinity Gauntlet: A Love Letter Game,2,6,15,15,15,2020,"3,4,5,6","4,5",8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
La Isla Prohibida: La Expansión Prohibida,0,,169390,expansion,0,1,0,0,0,0,0,0,0,3,,"My name is in the ""Thanks"" section of the rules credits. Matt sent me a copy.",,,,25730069,0,7.20625,1.5,0,43,thing,La Isla Prohibida: La Expansión Prohibida,2,4,30,30,30,2014,"1,2,3,4",4,,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
Jambo,0,,12002,standalone,0,0,0,0,0,1,0,0,0,3,,,,,,18020493,6.71574,6.99962,2.0705,747,10117,thing,Jambo,2,2,45,45,45,2004,2,2,10+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Jump Drive,8,27,205597,standalone,0,1,0,0,0,0,0,0,0,3,,"Played twice with Mel. Got the hang of it fairly quickly and enjoyed it. Definitely feels like playing race, but at a much lower mental level. We both found that thinking ahead didn't help much. And there are far fewer decisions. But I enjoyed the streamlined play and the fast setup. Definitely approachable and teachable. Oh, and I crushed Mel twice. Once with the blue starting hand and once with a crazy Galactic Trend Setters combo.",,,,89437327,6.52214,6.9987,2.0417,1076,5845,thing,Jump Drive,2,4,30,30,10,2017,"1,2,3,4",3,10+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,2017-07-05,,,,,,,,,
Kemet,0,,127023,standalone,0,0,0,0,0,0,0,0,1,3,,,,,,91073525,7.45428,7.68872,2.9971,127,19854,thing,Kemet,2,5,120,120,90,2012,"3,4,5","4,5",12+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Kemet: Blood and Sand,0,,297562,standalone,0,0,0,0,0,0,0,0,1,3,,,,,,91360905,7.02512,8.12304,3.1765,397,6443,thing,Kemet: Blood and Sand,2,5,120,120,90,2021,"2,3,4,5",4,10+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
The Kids of Catan,0,,5824,standalone,0,0,0,0,0,1,0,0,0,3,,,,,,18569721,5.42319,5.25056,1.0602,22574,1124,thing,The Kids of Catan,2,4,20,20,20,2003,"2,3,4","3,4",3–6,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Kingdom Builder,0,,107529,standalone,0,0,0,0,0,1,0,0,0,3,,,,,,18390917,6.81517,6.95389,2.063,605,27042,thing,Kingdom Builder,2,4,45,45,45,2011,"2,3,4",4,8+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
Kingdomino,7.9,7,204583,standalone,0,1,0,0,0,0,0,0,0,3,,"Ali got it for Christmas 2021 (has incorrect rule book).

I like how quick it is to play but how many decisions I get to make. Scoring is always interesting and I enjoy seeing what I was able to accomplish.",,,,89090903,7.21801,7.33764,1.216,249,67222,thing,Kingdomino,2,4,25,25,15,2016,"2,3,4","2,4",6+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Kingsburg (Second Edition),6,1,199966,standalone,0,0,0,0,0,0,0,0,0,3,,,,,,91479626,6.62359,7.44718,2.4493,893,4649,thing,Kingsburg (Second Edition),2,5,120,120,90,2017,"2,3,4,5",4,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Lanterns: The Harvest Festival,6.5,1,160851,standalone,0,1,0,0,0,0,0,0,0,1,,,,,,91070989,6.65454,6.88836,1.5556,846,17927,thing,Lanterns: The Harvest Festival,2,4,30,30,30,2015,"2,3,4",4,8+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Last Light,0,,315727,standalone,0,0,0,0,0,0,0,1,0,3,,Backed it at the basic level,,,,93759472,5.58199,7.67399,2.4,8504,60,thing,Last Light,2,4,75,75,45,2023,4,4,10+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
LCR,3,,3522,standalone,0,0,0,0,0,0,0,0,0,3,,,,,,96847991,4.41003,3.49249,1.0465,22933,4116,thing,LCR,3,12,20,20,20,1983,,"4,5",4+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
The Legend of Zelda,7,1,7249,standalone,0,0,0,0,0,0,1,0,0,3,,The original co-op game! I remember lots of fun with my Grandmother and my brother trying to get Link all the way to the end. We rarely made it all the way to Gannon because of our short attention spans but I loved this game anyway.,,,,19202116,5.48352,5.03387,1.3333,20946,165,thing,The Legend of Zelda,1,4,45,45,45,1988,2,2,,,,,,,,,,,,,,,,,,,,,,
Legendary: A Marvel Deck Building Game,0,,129437,standalone,0,0,0,0,0,1,0,0,0,3,,,,,,18520250,7.28694,7.5517,2.4339,205,32767,thing,Legendary: A Marvel Deck Building Game,1,5,60,60,30,2012,"1,2,3,4",3,10+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Legends of Andor,0,,127398,standalone,0,0,0,0,0,0,0,0,0,4,,,,,,89529442,6.93741,7.15859,2.7589,486,29482,thing,Legends of Andor,2,4,90,90,60,2012,"1,2,3,4",4,10+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Level 7 [Escape],0,,125658,standalone,0,1,0,0,0,0,0,0,0,3,,,,,,92805242,5.63343,6.01545,2.8361,6541,2094,thing,Level 7 [Escape],1,4,45,45,45,2012,"1,2,3,4",3,14+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Level 7 [Omega Protocol],0,,137649,standalone,0,0,0,0,0,1,0,0,1,2,,,,,,21457467,6.51776,7.45409,3.1619,1085,4028,thing,Level 7 [Omega Protocol],2,6,90,90,60,2013,"2,3,4,5,6",5,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Lie Detector,0,,5897,standalone,0,0,0,0,0,0,1,0,0,3,,"Loved this as a kid, played it with my mom a lot. I really like(d) the character artwork and we had fun making up voices and characters to go with them. I don't remember if the actual game was much fun but I had a good time with it. And the machine was cool, but me and my brother definitely punched through some of the cards.",,,,92138677,5.51645,5.83806,1.3077,15817,309,thing,Lie Detector,2,4,60,60,60,1960,"3,4",4,6+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
Lisboa,6,2,161533,standalone,5,0,0,0,0,0,0,0,0,3,,,,,,91833767,7.6905,8.19477,4.5723,62,13568,thing,Lisboa,1,4,120,120,60,2017,"1,2,3,4",3,14+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Loaded Questions,4,1,2838,standalone,0,0,0,0,0,0,1,0,0,3,,Not sure where this came from. Maybe a wedding present :-P,,,,20060864,5.60608,5.92316,1.2903,7395,2453,thing,Loaded Questions,3,6,45,45,45,1997,"4,5,6",,14+,Unplayable in another language,,,,,,,,,,,,,,,,,,,,
